U+00D7	×	MULTIPLICATION SIGN
U+308F	わ	HIRAGANA LETTER WA
U+3092	を	HIRAGANA LETTER WO
U+3093	ん	HIRAGANA LETTER N
U+30A1	ァ	KATAKANA LETTER SMALL A
U+30A2	ア	KATAKANA LETTER A
U+30A3	ィ	KATAKANA LETTER SMALL I
U+30A4	イ	KATAKANA LETTER I
U+30A5	ゥ	KATAKANA LETTER SMALL U
U+30A6	ウ	KATAKANA LETTER U
U+30A7	ェ	KATAKANA LETTER SMALL E
U+30A8	エ	KATAKANA LETTER E
U+30A9	ォ	KATAKANA LETTER SMALL O
U+30AA	オ	KATAKANA LETTER O
U+30AB	カ	KATAKANA LETTER KA
U+30AC	ガ	KATAKANA LETTER GA
U+30AD	キ	KATAKANA LETTER KI
U+30AE	ギ	KATAKANA LETTER GI
U+30AF	ク	KATAKANA LETTER KU
U+30B0	グ	KATAKANA LETTER GU
U+30B1	ケ	KATAKANA LETTER KE
U+30B2	ゲ	KATAKANA LETTER GE
U+30B3	コ	KATAKANA LETTER KO
U+30B4	ゴ	KATAKANA LETTER GO
U+30B5	サ	KATAKANA LETTER SA
U+30B6	ザ	KATAKANA LETTER ZA
U+30B7	シ	KATAKANA LETTER SI
U+30B8	ジ	KATAKANA LETTER ZI
U+30B9	ス	KATAKANA LETTER SU
U+30BA	ズ	KATAKANA LETTER ZU
U+30BB	セ	KATAKANA LETTER SE
U+30BC	ゼ	KATAKANA LETTER ZE
U+30BD	ソ	KATAKANA LETTER SO
U+30BE	ゾ	KATAKANA LETTER ZO
U+30BF	タ	KATAKANA LETTER TA
U+30C0	ダ	KATAKANA LETTER DA
U+30C1	チ	KATAKANA LETTER TI
U+30C3	ッ	KATAKANA LETTER SMALL TU
U+30C4	ツ	KATAKANA LETTER TU
U+30C5	ヅ	KATAKANA LETTER DU
U+30C6	テ	KATAKANA LETTER TE
U+30C7	デ	KATAKANA LETTER DE
U+30C8	ト	KATAKANA LETTER TO
U+30C9	ド	KATAKANA LETTER DO
U+30CA	ナ	KATAKANA LETTER NA
U+30CB	ニ	KATAKANA LETTER NI
U+30CC	ヌ	KATAKANA LETTER NU
U+30CD	ネ	KATAKANA LETTER NE
U+30CE	ノ	KATAKANA LETTER NO
U+30CF	ハ	KATAKANA LETTER HA
U+30D0	バ	KATAKANA LETTER BA
U+30D1	パ	KATAKANA LETTER PA
U+30D2	ヒ	KATAKANA LETTER HI
U+30D3	ビ	KATAKANA LETTER BI
U+30D4	ピ	KATAKANA LETTER PI
U+30D5	フ	KATAKANA LETTER HU
U+30D6	ブ	KATAKANA LETTER BU
U+30D7	プ	KATAKANA LETTER PU
U+30D8	ヘ	KATAKANA LETTER HE
U+30D9	ベ	KATAKANA LETTER BE
U+30DA	ペ	KATAKANA LETTER PE
U+30DB	ホ	KATAKANA LETTER HO
U+30DC	ボ	KATAKANA LETTER BO
U+30DD	ポ	KATAKANA LETTER PO
U+30DE	マ	KATAKANA LETTER MA
U+30DF	ミ	KATAKANA LETTER MI
U+30E0	ム	KATAKANA LETTER MU
U+30E1	メ	KATAKANA LETTER ME
U+30E2	モ	KATAKANA LETTER MO
U+30E3	ャ	KATAKANA LETTER SMALL YA
U+30E4	ヤ	KATAKANA LETTER YA
U+30E5	ュ	KATAKANA LETTER SMALL YU
U+30E6	ユ	KATAKANA LETTER YU
U+30E7	ョ	KATAKANA LETTER SMALL YO
U+30E8	ヨ	KATAKANA LETTER YO
U+30E9	ラ	KATAKANA LETTER RA
U+30EA	リ	KATAKANA LETTER RI
U+30EB	ル	KATAKANA LETTER RU
U+30EC	レ	KATAKANA LETTER RE
U+30ED	ロ	KATAKANA LETTER RO
U+30EF	ワ	KATAKANA LETTER WA
U+30F3	ン	KATAKANA LETTER N
U+30F4	ヴ	KATAKANA LETTER VU
U+30F6	ヶ	KATAKANA LETTER SMALL KE
U+30FB	・	KATAKANA MIDDLE DOT
U+30FC	ー	KATAKANA-HIRAGANA PROLONGED SOUND MARK
U+4E00	一	CJK UNIFIED IDEOGRAPH-4E00
U+4E01	丁	CJK UNIFIED IDEOGRAPH-4E01
U+4E03	七	CJK UNIFIED IDEOGRAPH-4E03
U+4E07	万	CJK UNIFIED IDEOGRAPH-4E07
U+4E08	丈	CJK UNIFIED IDEOGRAPH-4E08
U+4E09	三	CJK UNIFIED IDEOGRAPH-4E09
U+4E0A	上	CJK UNIFIED IDEOGRAPH-4E0A
U+4E0B	下	CJK UNIFIED IDEOGRAPH-4E0B
U+4E0D	不	CJK UNIFIED IDEOGRAPH-4E0D
U+4E0E	与	CJK UNIFIED IDEOGRAPH-4E0E
U+4E16	世	CJK UNIFIED IDEOGRAPH-4E16
U+4E21	両	CJK UNIFIED IDEOGRAPH-4E21
U+4E26	並	CJK UNIFIED IDEOGRAPH-4E26
U+4E2D	中	CJK UNIFIED IDEOGRAPH-4E2D
U+4E38	丸	CJK UNIFIED IDEOGRAPH-4E38
U+4E3B	主	CJK UNIFIED IDEOGRAPH-4E3B
U+4E45	久	CJK UNIFIED IDEOGRAPH-4E45
U+4E4F	乏	CJK UNIFIED IDEOGRAPH-4E4F
U+4E57	乗	CJK UNIFIED IDEOGRAPH-4E57
U+4E59	乙	CJK UNIFIED IDEOGRAPH-4E59
U+4E5D	九	CJK UNIFIED IDEOGRAPH-4E5D
U+4E5E	乞	CJK UNIFIED IDEOGRAPH-4E5E
U+4E71	乱	CJK UNIFIED IDEOGRAPH-4E71
U+4E86	了	CJK UNIFIED IDEOGRAPH-4E86
U+4E88	予	CJK UNIFIED IDEOGRAPH-4E88
U+4E89	争	CJK UNIFIED IDEOGRAPH-4E89
U+4E8B	事	CJK UNIFIED IDEOGRAPH-4E8B
U+4E8C	二	CJK UNIFIED IDEOGRAPH-4E8C
U+4E92	互	CJK UNIFIED IDEOGRAPH-4E92
U+4E94	五	CJK UNIFIED IDEOGRAPH-4E94
U+4E9B	些	CJK UNIFIED IDEOGRAPH-4E9B
U+4EA1	亡	CJK UNIFIED IDEOGRAPH-4EA1
U+4EA4	交	CJK UNIFIED IDEOGRAPH-4EA4
U+4EBA	人	CJK UNIFIED IDEOGRAPH-4EBA
U+4EC7	仇	CJK UNIFIED IDEOGRAPH-4EC7
U+4ECA	今	CJK UNIFIED IDEOGRAPH-4ECA
U+4ECB	介	CJK UNIFIED IDEOGRAPH-4ECB
U+4ED4	仔	CJK UNIFIED IDEOGRAPH-4ED4
U+4ED5	仕	CJK UNIFIED IDEOGRAPH-4ED5
U+4ED6	他	CJK UNIFIED IDEOGRAPH-4ED6
U+4ED8	付	CJK UNIFIED IDEOGRAPH-4ED8
U+4EE3	代	CJK UNIFIED IDEOGRAPH-4EE3
U+4EE4	令	CJK UNIFIED IDEOGRAPH-4EE4
U+4EE5	以	CJK UNIFIED IDEOGRAPH-4EE5
U+4EEE	仮	CJK UNIFIED IDEOGRAPH-4EEE
U+4EF0	仰	CJK UNIFIED IDEOGRAPH-4EF0
U+4EF2	仲	CJK UNIFIED IDEOGRAPH-4EF2
U+4EF6	件	CJK UNIFIED IDEOGRAPH-4EF6
U+4EFB	任	CJK UNIFIED IDEOGRAPH-4EFB
U+4F01	企	CJK UNIFIED IDEOGRAPH-4F01
U+4F0F	伏	CJK UNIFIED IDEOGRAPH-4F0F
U+4F10	伐	CJK UNIFIED IDEOGRAPH-4F10
U+4F11	休	CJK UNIFIED IDEOGRAPH-4F11
U+4F1A	会	CJK UNIFIED IDEOGRAPH-4F1A
U+4F1D	伝	CJK UNIFIED IDEOGRAPH-4F1D
U+4F34	伴	CJK UNIFIED IDEOGRAPH-4F34
U+4F38	伸	CJK UNIFIED IDEOGRAPH-4F38
U+4F3A	伺	CJK UNIFIED IDEOGRAPH-4F3A
U+4F3C	似	CJK UNIFIED IDEOGRAPH-4F3C
U+4F4D	位	CJK UNIFIED IDEOGRAPH-4F4D
U+4F4E	低	CJK UNIFIED IDEOGRAPH-4F4E
U+4F4F	住	CJK UNIFIED IDEOGRAPH-4F4F
U+4F50	佐	CJK UNIFIED IDEOGRAPH-4F50
U+4F53	体	CJK UNIFIED IDEOGRAPH-4F53
U+4F55	何	CJK UNIFIED IDEOGRAPH-4F55
U+4F59	余	CJK UNIFIED IDEOGRAPH-4F59
U+4F5C	作	CJK UNIFIED IDEOGRAPH-4F5C
U+4F7F	使	CJK UNIFIED IDEOGRAPH-4F7F
U+4F8B	例	CJK UNIFIED IDEOGRAPH-4F8B
U+4F9B	供	CJK UNIFIED IDEOGRAPH-4F9B
U+4F9D	依	CJK UNIFIED IDEOGRAPH-4F9D
U+4FA1	価	CJK UNIFIED IDEOGRAPH-4FA1
U+4FAE	侮	CJK UNIFIED IDEOGRAPH-4FAE
U+4FB5	侵	CJK UNIFIED IDEOGRAPH-4FB5
U+4FB6	侶	CJK UNIFIED IDEOGRAPH-4FB6
U+4FBF	便	CJK UNIFIED IDEOGRAPH-4FBF
U+4FC2	係	CJK UNIFIED IDEOGRAPH-4FC2
U+4FDD	保	CJK UNIFIED IDEOGRAPH-4FDD
U+4FE1	信	CJK UNIFIED IDEOGRAPH-4FE1
U+4FEE	修	CJK UNIFIED IDEOGRAPH-4FEE
U+4FFA	俺	CJK UNIFIED IDEOGRAPH-4FFA
U+5009	倉	CJK UNIFIED IDEOGRAPH-5009
U+500B	個	CJK UNIFIED IDEOGRAPH-500B
U+500D	倍	CJK UNIFIED IDEOGRAPH-500D
U+5012	倒	CJK UNIFIED IDEOGRAPH-5012
U+5019	候	CJK UNIFIED IDEOGRAPH-5019
U+501F	借	CJK UNIFIED IDEOGRAPH-501F
U+5024	値	CJK UNIFIED IDEOGRAPH-5024
U+5049	偉	CJK UNIFIED IDEOGRAPH-5049
U+5065	健	CJK UNIFIED IDEOGRAPH-5065
U+5074	側	CJK UNIFIED IDEOGRAPH-5074
U+5075	偵	CJK UNIFIED IDEOGRAPH-5075
U+5076	偶	CJK UNIFIED IDEOGRAPH-5076
U+507D	偽	CJK UNIFIED IDEOGRAPH-507D
U+508D	傍	CJK UNIFIED IDEOGRAPH-508D
U+5091	傑	CJK UNIFIED IDEOGRAPH-5091
U+5099	備	CJK UNIFIED IDEOGRAPH-5099
U+50AD	傭	CJK UNIFIED IDEOGRAPH-50AD
U+50B7	傷	CJK UNIFIED IDEOGRAPH-50B7
U+50BE	傾	CJK UNIFIED IDEOGRAPH-50BE
U+50CD	働	CJK UNIFIED IDEOGRAPH-50CD
U+50CF	像	CJK UNIFIED IDEOGRAPH-50CF
U+50D5	僕	CJK UNIFIED IDEOGRAPH-50D5
U+50E7	僧	CJK UNIFIED IDEOGRAPH-50E7
U+5100	儀	CJK UNIFIED IDEOGRAPH-5100
U+511A	儚	CJK UNIFIED IDEOGRAPH-511A
U+511F	償	CJK UNIFIED IDEOGRAPH-511F
U+512A	優	CJK UNIFIED IDEOGRAPH-512A
U+5143	元	CJK UNIFIED IDEOGRAPH-5143
U+5144	兄	CJK UNIFIED IDEOGRAPH-5144
U+5145	充	CJK UNIFIED IDEOGRAPH-5145
U+5146	兆	CJK UNIFIED IDEOGRAPH-5146
U+5148	先	CJK UNIFIED IDEOGRAPH-5148
U+5149	光	CJK UNIFIED IDEOGRAPH-5149
U+514D	免	CJK UNIFIED IDEOGRAPH-514D
U+5150	児	CJK UNIFIED IDEOGRAPH-5150
U+515A	党	CJK UNIFIED IDEOGRAPH-515A
U+5165	入	CJK UNIFIED IDEOGRAPH-5165
U+5168	全	CJK UNIFIED IDEOGRAPH-5168
U+516B	八	CJK UNIFIED IDEOGRAPH-516B
U+516C	公	CJK UNIFIED IDEOGRAPH-516C
U+516D	六	CJK UNIFIED IDEOGRAPH-516D
U+5171	共	CJK UNIFIED IDEOGRAPH-5171
U+5175	兵	CJK UNIFIED IDEOGRAPH-5175
U+5177	具	CJK UNIFIED IDEOGRAPH-5177
U+5178	典	CJK UNIFIED IDEOGRAPH-5178
U+517C	兼	CJK UNIFIED IDEOGRAPH-517C
U+5185	内	CJK UNIFIED IDEOGRAPH-5185
U+518D	再	CJK UNIFIED IDEOGRAPH-518D
U+5192	冒	CJK UNIFIED IDEOGRAPH-5192
U+5197	冗	CJK UNIFIED IDEOGRAPH-5197
U+5199	写	CJK UNIFIED IDEOGRAPH-5199
U+51A0	冠	CJK UNIFIED IDEOGRAPH-51A0
U+51A5	冥	CJK UNIFIED IDEOGRAPH-51A5
U+51AC	冬	CJK UNIFIED IDEOGRAPH-51AC
U+51B4	冴	CJK UNIFIED IDEOGRAPH-51B4
U+51B7	冷	CJK UNIFIED IDEOGRAPH-51B7
U+51C4	凄	CJK UNIFIED IDEOGRAPH-51C4
U+51CD	凍	CJK UNIFIED IDEOGRAPH-51CD
U+51E0	几	CJK UNIFIED IDEOGRAPH-51E0
U+51E6	処	CJK UNIFIED IDEOGRAPH-51E6
U+51F6	凶	CJK UNIFIED IDEOGRAPH-51F6
U+51FA	出	CJK UNIFIED IDEOGRAPH-51FA
U+5200	刀	CJK UNIFIED IDEOGRAPH-5200
U+5203	刃	CJK UNIFIED IDEOGRAPH-5203
U+5206	分	CJK UNIFIED IDEOGRAPH-5206
U+5207	切	CJK UNIFIED IDEOGRAPH-5207
U+5211	刑	CJK UNIFIED IDEOGRAPH-5211
U+5217	列	CJK UNIFIED IDEOGRAPH-5217
U+521D	初	CJK UNIFIED IDEOGRAPH-521D
U+5224	判	CJK UNIFIED IDEOGRAPH-5224
U+5225	別	CJK UNIFIED IDEOGRAPH-5225
U+5229	利	CJK UNIFIED IDEOGRAPH-5229
U+5230	到	CJK UNIFIED IDEOGRAPH-5230
U+5236	制	CJK UNIFIED IDEOGRAPH-5236
U+523A	刺	CJK UNIFIED IDEOGRAPH-523A
U+523B	刻	CJK UNIFIED IDEOGRAPH-523B
U+524A	削	CJK UNIFIED IDEOGRAPH-524A
U+524D	前	CJK UNIFIED IDEOGRAPH-524D
U+5263	剣	CJK UNIFIED IDEOGRAPH-5263
U+526F	副	CJK UNIFIED IDEOGRAPH-526F
U+5270	剰	CJK UNIFIED IDEOGRAPH-5270
U+5272	割	CJK UNIFIED IDEOGRAPH-5272
U+5275	創	CJK UNIFIED IDEOGRAPH-5275
U+5287	劇	CJK UNIFIED IDEOGRAPH-5287
U+529B	力	CJK UNIFIED IDEOGRAPH-529B
U+529F	功	CJK UNIFIED IDEOGRAPH-529F
U+52A0	加	CJK UNIFIED IDEOGRAPH-52A0
U+52A3	劣	CJK UNIFIED IDEOGRAPH-52A3
U+52A9	助	CJK UNIFIED IDEOGRAPH-52A9
U+52AA	努	CJK UNIFIED IDEOGRAPH-52AA
U+52B1	励	CJK UNIFIED IDEOGRAPH-52B1
U+52B4	労	CJK UNIFIED IDEOGRAPH-52B4
U+52B9	効	CJK UNIFIED IDEOGRAPH-52B9
U+52C3	勃	CJK UNIFIED IDEOGRAPH-52C3
U+52C7	勇	CJK UNIFIED IDEOGRAPH-52C7
U+52C9	勉	CJK UNIFIED IDEOGRAPH-52C9
U+52D5	動	CJK UNIFIED IDEOGRAPH-52D5
U+52D8	勘	CJK UNIFIED IDEOGRAPH-52D8
U+52D9	務	CJK UNIFIED IDEOGRAPH-52D9
U+52DD	勝	CJK UNIFIED IDEOGRAPH-52DD
U+52E2	勢	CJK UNIFIED IDEOGRAPH-52E2
U+52E4	勤	CJK UNIFIED IDEOGRAPH-52E4
U+52E7	勧	CJK UNIFIED IDEOGRAPH-52E7
U+52F2	勲	CJK UNIFIED IDEOGRAPH-52F2
U+52FF	勿	CJK UNIFIED IDEOGRAPH-52FF
U+5302	匂	CJK UNIFIED IDEOGRAPH-5302
U+5305	包	CJK UNIFIED IDEOGRAPH-5305
U+5316	化	CJK UNIFIED IDEOGRAPH-5316
U+5317	北	CJK UNIFIED IDEOGRAPH-5317
U+5320	匠	CJK UNIFIED IDEOGRAPH-5320
U+5339	匹	CJK UNIFIED IDEOGRAPH-5339
U+5341	十	CJK UNIFIED IDEOGRAPH-5341
U+5343	千	CJK UNIFIED IDEOGRAPH-5343
U+534A	半	CJK UNIFIED IDEOGRAPH-534A
U+5351	卑	CJK UNIFIED IDEOGRAPH-5351
U+5353	卓	CJK UNIFIED IDEOGRAPH-5353
U+5354	協	CJK UNIFIED IDEOGRAPH-5354
U+5357	南	CJK UNIFIED IDEOGRAPH-5357
U+5358	単	CJK UNIFIED IDEOGRAPH-5358
U+5360	占	CJK UNIFIED IDEOGRAPH-5360
U+5370	印	CJK UNIFIED IDEOGRAPH-5370
U+5371	危	CJK UNIFIED IDEOGRAPH-5371
U+5373	即	CJK UNIFIED IDEOGRAPH-5373
U+5374	却	CJK UNIFIED IDEOGRAPH-5374
U+5375	卵	CJK UNIFIED IDEOGRAPH-5375
U+5384	厄	CJK UNIFIED IDEOGRAPH-5384
U+539A	厚	CJK UNIFIED IDEOGRAPH-539A
U+539F	原	CJK UNIFIED IDEOGRAPH-539F
U+53B3	厳	CJK UNIFIED IDEOGRAPH-53B3
U+53BB	去	CJK UNIFIED IDEOGRAPH-53BB
U+53C2	参	CJK UNIFIED IDEOGRAPH-53C2
U+53CA	及	CJK UNIFIED IDEOGRAPH-53CA
U+53CB	友	CJK UNIFIED IDEOGRAPH-53CB
U+53CC	双	CJK UNIFIED IDEOGRAPH-53CC
U+53CD	反	CJK UNIFIED IDEOGRAPH-53CD
U+53CE	収	CJK UNIFIED IDEOGRAPH-53CE
U+53D4	叔	CJK UNIFIED IDEOGRAPH-53D4
U+53D6	取	CJK UNIFIED IDEOGRAPH-53D6
U+53D7	受	CJK UNIFIED IDEOGRAPH-53D7
U+53D9	叙	CJK UNIFIED IDEOGRAPH-53D9
U+53E3	口	CJK UNIFIED IDEOGRAPH-53E3
U+53E4	古	CJK UNIFIED IDEOGRAPH-53E4
U+53E5	句	CJK UNIFIED IDEOGRAPH-53E5
U+53E9	叩	CJK UNIFIED IDEOGRAPH-53E9
U+53EB	叫	CJK UNIFIED IDEOGRAPH-53EB
U+53EC	召	CJK UNIFIED IDEOGRAPH-53EC
U+53EF	可	CJK UNIFIED IDEOGRAPH-53EF
U+53F0	台	CJK UNIFIED IDEOGRAPH-53F0
U+53F1	叱	CJK UNIFIED IDEOGRAPH-53F1
U+53F2	史	CJK UNIFIED IDEOGRAPH-53F2
U+53F3	右	CJK UNIFIED IDEOGRAPH-53F3
U+53F6	叶	CJK UNIFIED IDEOGRAPH-53F6
U+53F7	号	CJK UNIFIED IDEOGRAPH-53F7
U+53F8	司	CJK UNIFIED IDEOGRAPH-53F8
U+5404	各	CJK UNIFIED IDEOGRAPH-5404
U+5408	合	CJK UNIFIED IDEOGRAPH-5408
U+5409	吉	CJK UNIFIED IDEOGRAPH-5409
U+540C	同	CJK UNIFIED IDEOGRAPH-540C
U+540D	名	CJK UNIFIED IDEOGRAPH-540D
U+5410	吐	CJK UNIFIED IDEOGRAPH-5410
U+5411	向	CJK UNIFIED IDEOGRAPH-5411
U+541B	君	CJK UNIFIED IDEOGRAPH-541B
U+541F	吟	CJK UNIFIED IDEOGRAPH-541F
U+5426	否	CJK UNIFIED IDEOGRAPH-5426
U+542B	含	CJK UNIFIED IDEOGRAPH-542B
U+5438	吸	CJK UNIFIED IDEOGRAPH-5438
U+5439	吹	CJK UNIFIED IDEOGRAPH-5439
U+5446	呆	CJK UNIFIED IDEOGRAPH-5446
U+544A	告	CJK UNIFIED IDEOGRAPH-544A
U+5451	呑	CJK UNIFIED IDEOGRAPH-5451
U+5468	周	CJK UNIFIED IDEOGRAPH-5468
U+546A	呪	CJK UNIFIED IDEOGRAPH-546A
U+5473	味	CJK UNIFIED IDEOGRAPH-5473
U+547C	呼	CJK UNIFIED IDEOGRAPH-547C
U+547D	命	CJK UNIFIED IDEOGRAPH-547D
U+548C	和	CJK UNIFIED IDEOGRAPH-548C
U+548E	咎	CJK UNIFIED IDEOGRAPH-548E
U+54A4	咤	CJK UNIFIED IDEOGRAPH-54A4
U+54B2	咲	CJK UNIFIED IDEOGRAPH-54B2
U+54C0	哀	CJK UNIFIED IDEOGRAPH-54C0
U+54C1	品	CJK UNIFIED IDEOGRAPH-54C1
U+54E1	員	CJK UNIFIED IDEOGRAPH-54E1
U+5504	唄	CJK UNIFIED IDEOGRAPH-5504
U+552F	唯	CJK UNIFIED IDEOGRAPH-552F
U+5531	唱	CJK UNIFIED IDEOGRAPH-5531
U+5546	商	CJK UNIFIED IDEOGRAPH-5546
U+554F	問	CJK UNIFIED IDEOGRAPH-554F
U+5584	善	CJK UNIFIED IDEOGRAPH-5584
U+558B	喋	CJK UNIFIED IDEOGRAPH-558B
U+559A	喚	CJK UNIFIED IDEOGRAPH-559A
U+559C	喜	CJK UNIFIED IDEOGRAPH-559C
U+559D	喝	CJK UNIFIED IDEOGRAPH-559D
U+5606	嘆	CJK UNIFIED IDEOGRAPH-5606
U+5618	嘘	CJK UNIFIED IDEOGRAPH-5618
U+5642	噂	CJK UNIFIED IDEOGRAPH-5642
U+5668	器	CJK UNIFIED IDEOGRAPH-5668
U+5687	嚇	CJK UNIFIED IDEOGRAPH-5687
U+56DA	囚	CJK UNIFIED IDEOGRAPH-56DA
U+56DB	四	CJK UNIFIED IDEOGRAPH-56DB
U+56DE	回	CJK UNIFIED IDEOGRAPH-56DE
U+56E0	因	CJK UNIFIED IDEOGRAPH-56E0
U+56E3	団	CJK UNIFIED IDEOGRAPH-56E3
U+56F0	困	CJK UNIFIED IDEOGRAPH-56F0
U+56F2	囲	CJK UNIFIED IDEOGRAPH-56F2
U+56F3	図	CJK UNIFIED IDEOGRAPH-56F3
U+56FA	固	CJK UNIFIED IDEOGRAPH-56FA
U+56FD	国	CJK UNIFIED IDEOGRAPH-56FD
U+5712	園	CJK UNIFIED IDEOGRAPH-5712
U+571F	土	CJK UNIFIED IDEOGRAPH-571F
U+5727	圧	CJK UNIFIED IDEOGRAPH-5727
U+5728	在	CJK UNIFIED IDEOGRAPH-5728
U+5730	地	CJK UNIFIED IDEOGRAPH-5730
U+574A	坊	CJK UNIFIED IDEOGRAPH-574A
U+578B	型	CJK UNIFIED IDEOGRAPH-578B
U+57A2	垢	CJK UNIFIED IDEOGRAPH-57A2
